# generated by launcher/tools/quality/complexity_gate.py --update-baseline
# score	file:line	function
11	launcher/main/apps/render_lab/tests/suite_cube_perf.c:231	run_perf_capture
11	launcher/main/apps/render_lab/ui/render_lab_menu_screen.c:15	render_lab_menu_screen_draw
11	launcher/main/apps/sand/app_sand.c:1267	paint_row_n
11	launcher/main/apps/sand/material_palette.c:857	extended_colours
11	launcher/main/apps/sand/sand.c:1105	compute_settled_bit
11	launcher/main/apps/sand/sand_impulse.c:619	reacquire_liquid_by_material
11	launcher/main/apps/sand/sand_liquid.c:380	equalise_one_row
11	launcher/main/apps/sand/sand_plants.c:265	drink_below_collar
11	launcher/main/apps/sand/sand_plants.c:295	find_water
11	launcher/main/apps/sand/sand_plants.c:746	shove_aside
11	launcher/main/apps/sand/sand_plants.c:723	stem_next
11	launcher/main/apps/sand/sand_reactions.c:490	cool_off_chain
11	launcher/main/apps/sand/sand_reactions.c:650	soak_share_with
11	launcher/main/apps/sand/tests/suite_sand_combustion.c:1656	test_a_resting_snowbank_stays_settled_over_a_floor_it_chills
11	launcher/main/apps/sand/tests/suite_sand_dirt.c:747	test_a_shattered_pane_comes_back_as_cullet
11	launcher/main/apps/sand/tests/suite_sand_dirt.c:654	test_moisture_is_conserved_as_it_spreads
11	launcher/main/apps/sand/tests/suite_sand_dirt.c:549	test_only_water_wets_what_it_touches
11	launcher/main/apps/sand/tests/suite_sand_extended_range.c:111	find_dropped_and_bed_extents
11	launcher/main/apps/sand/tests/suite_sand_gunpowder.c:1219	test_gunpowder_moisture_never_multiplies_as_it_spreads
11	launcher/main/apps/sand/tests/suite_sand_gunpowder.c:909	test_soaked_gunpowder_never_lights_beside_lava
11	launcher/main/apps/sand/tests/suite_sand_icons.c:169	test_every_icon_blocks_matches_actual_run_length
11	launcher/main/apps/sand/tests/suite_sand_icons.c:45	test_every_icon_is_non_empty
11	launcher/main/apps/sand/tests/suite_sand_impulse.c:1902	test_a_chunk_dropped_on_flat_ground_still_settles_on_it
11	launcher/main/apps/sand/tests/suite_sand_liquid_depth.c:2319	flash_test_paint
11	launcher/main/apps/sand/tests/suite_sand_metal.c:455	test_heat_through_a_stone_wall_smelts_the_dirt_beyond_it
11	launcher/main/apps/sand/tests/suite_sand_metal.c:668	test_the_rod_terminates_at_conduct_reach_not_the_far_wall
11	launcher/main/apps/sand/tests/suite_sand_metal.c:247	test_wet_dirt_can_still_steam_before_spoiling_at_least_sometimes
11	launcher/main/apps/sand/tests/suite_sand_motion.c:33	assert_looks_like
11	launcher/main/apps/sand/tests/suite_sand_perf.c:56	build_mixed_gravity_flip_scene
11	launcher/main/apps/sand/tests/suite_sand_perf.c:3510	count_bubbles_by_side
11	launcher/main/apps/sand/tests/suite_sand_perf.c:111	liquid_near_cell_bound
11	launcher/main/apps/sand/tests/suite_sand_perf.c:824	sweep_quality
11	launcher/main/apps/sand/tests/suite_sand_perf.c:435	test_the_gas_random_walk_against_the_exhaustive_mover
11	launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c:985	pour_and_count
11	launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c:344	snow_float_scan
11	launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c:2266	test_the_boiler_end_to_end
11	launcher/main/apps/sand/tests/suite_sand_roots.c:1482	bathe_ice_in_air
11	launcher/main/apps/sand/tests/suite_sand_scenes.c:2260	census_gunpowder_basin_paint
11	launcher/main/apps/sand/tests/suite_sand_scenes.c:1112	note_boiler_cell
11	launcher/main/apps/sand/tests/suite_sand_scenes.c:2287	note_gunpowder_basin_aftermath_cell
11	launcher/main/apps/sand/tests/suite_sand_seeds.c:465	test_a_growing_tree_does_not_shed_what_it_grows
11	launcher/main/apps/sand/tests/suite_sand_seeds.c:1385	test_a_stem_that_wanders_still_hardens
11	launcher/main/apps/sand/tests/suite_sand_two_core.c:795	tc_assert_row_seams_move_one_cell
11	launcher/main/apps/sand/tests/suite_sand_two_core.c:81	tc_build_liquid_scene
11	launcher/main/apps/sand/tools/colour_lever1_counters.c:88	shade_frame
11	launcher/main/apps/sand/tools/dump_reactions.c:1838	emit_chills
11	launcher/main/apps/sand/tools/dump_reactions.c:1795	emit_heats_to
11	launcher/main/apps/sand/tools/grid_fingerprint.c:181	scene_fire_gas
11	launcher/main/apps/sand/tools/grid_fingerprint.c:475	scene_powder_keg
11	launcher/main/apps/sand/tools/shading_palette.c:2434	dp_pixel
11	launcher/main/apps/sand/tools/shading_palette.c:2605	report_sweep_group
11	launcher/main/boot/post_layout.c:191	post_wrap_next
11	launcher/main/gfx/gfx.c:1856	gather_and_send
11	launcher/main/gfx/gfx.c:1106	gfx_fill_rect_dither
11	launcher/main/ui/ui.c:294	propagate_repaint_over_overlaps
11	launcher/test/suites/suite_boot_anim.c:76	test_the_curve_meets_the_axis_at_every_known_zero
