# generated by launcher/tools/complexity_gate.py --update-baseline
# score	file:line	function
13	launcher/main/apps/sand/suite_sand_dune_blast.c:446	empty_within
13	launcher/main/apps/sand/suite_sand_dune_blast.c:426	water_within
13	launcher/main/apps/sand/suite_sand_gas_rows.c:85	scatter_gas_row_gas
13	launcher/main/apps/sand/suite_sand_glass_thermal.c:398	test_frost_spreads_beyond_the_snow_touching_it
13	launcher/main/apps/sand/suite_sand_gunpowder.c:409	test_a_lit_gunpowder_trail_burns_along_itself
13	launcher/main/apps/sand/suite_sand_impulse.c:706	far_sink_penetration_for_seed
13	launcher/main/apps/sand/suite_sand_impulse.c:47	test_the_disc_count_table_matches_a_direct_lattice_count
13	launcher/main/apps/sand/suite_sand_liquid_depth.c:2406	flash_test_count_crossed
13	launcher/main/apps/sand/suite_sand_liquid_depth.c:2860	test_a_fixed_depth_reads_the_same_at_every_tilt_angle
13	launcher/main/apps/sand/suite_sand_liquid_depth.c:1633	wake_test_interior_mean_depth
13	launcher/main/apps/sand/suite_sand_locality.c:78	test_two_separate_active_spots_in_the_same_block_row_do_not_wake_each_other
13	launcher/main/apps/sand/suite_sand_perf.c:2492	mirror_app_sand_marking
13	launcher/main/apps/sand/suite_sand_perf.c:794	test_the_wood_leaf_shading_on_a_grove
13	launcher/main/apps/sand/suite_sand_scenes.c:1243	build_tree_grove_canopy
13	launcher/main/apps/sand/suite_sand_spawning.c:169	test_a_heap_settles_against_whichever_wall_is_down
13	launcher/main/apps/sand/suite_sand_tone.c:490	test_each_material_is_painted_the_way_it_should_be
13	launcher/main/apps/sand/suite_sand_tone.c:186	test_melting_snow_makes_water_not_more_of_the_liquid
13	launcher/main/apps/sand/suite_sand_tone.c:567	test_stone_speckles_by_position_at_every_temperature
13	launcher/main/apps/sand/tools/dump_reactions.c:1041	adverb_exceptions_are_sound
13	launcher/main/apps/sand/tools/grid_fingerprint.c:627	main
13	launcher/main/gfx/gfx.c:2070	send_one_row
13	launcher/main/gfx/gfx.c:897	walk
13	launcher/main/input/touch.c:50	poll_once
13	launcher/test/suites/suite_icons.c:244	test_stroke_is_at_least_2px_native_except_the_one_tapered_tip
12	launcher/main/apps/sand/app_sand.c:1865	sand_update
12	launcher/main/apps/sand/sand_liquid.c:87	find_shallowest
12	launcher/main/apps/sand/suite_sand_combustion.c:1049	scan_slab_chill
12	launcher/main/apps/sand/suite_sand_combustion.c:1199	test_a_32_cell_snow_cover_turns_to_ice_in_about_five_minutes
12	launcher/main/apps/sand/suite_sand_combustion.c:1851	test_an_ember_flares_fire_into_an_empty_neighbour
12	launcher/main/apps/sand/suite_sand_combustion.c:241	test_open_air_gas_rise_rate_stays_at_its_baseline
12	launcher/main/apps/sand/suite_sand_dune_blast.c:254	measure_escape
12	launcher/main/apps/sand/suite_sand_impulse.c:549	test_a_flying_grain_keeps_its_outward_push_while_falling
12	launcher/main/apps/sand/suite_sand_impulse.c:1597	test_blocker_normal_and_reflect_off_normal_match_the_exhaustive_arc_table
12	launcher/main/apps/sand/suite_sand_lava_burial.c:460	test_buried_lava_still_becomes_stone_with_impulses_off
12	launcher/main/apps/sand/suite_sand_lava_burial.c:187	test_lava_in_a_wall_notch_never_bursts
12	launcher/main/apps/sand/suite_sand_liquid_depth.c:842	mirror_debounced_depth_column
12	launcher/main/apps/sand/suite_sand_liquid_depth.c:1002	mirror_debounced_depth_row
12	launcher/main/apps/sand/suite_sand_liquid_depth.c:343	mirror_local_depth_column
12	launcher/main/apps/sand/suite_sand_liquid_depth.c:550	mirror_ray_walk_count
12	launcher/main/apps/sand/suite_sand_liquid_depth.c:621	mirror_ray_walk_row
12	launcher/main/apps/sand/suite_sand_locality.c:703	test_a_lagging_grain_is_not_left_asleep
12	launcher/main/apps/sand/suite_sand_locality.c:187	test_sideways_tilt_wakes_only_the_disturbed_column
12	launcher/main/apps/sand/suite_sand_materials.c:569	test_a_large_body_of_water_levels
12	launcher/main/apps/sand/suite_sand_materials.c:887	test_a_water_splash_actually_opens_a_gap
12	launcher/main/apps/sand/suite_sand_perf.c:1995	test_the_plant_ruin_scene_fits_in_the_frame_budget
12	launcher/main/apps/sand/suite_sand_reaction_encoding.c:590	test_the_fizz_rises_out_of_the_acid
12	launcher/main/apps/sand/suite_sand_roots.c:722	root_growth_verdict
12	launcher/main/apps/sand/suite_sand_roots.c:1554	sand_shade_range
12	launcher/main/apps/sand/suite_sand_roots.c:957	test_a_continuously_watered_root_system_still_saturates
12	launcher/main/apps/sand/suite_sand_scenes.c:1512	build_filling_basin_scene
12	launcher/main/apps/sand/suite_sand_scenes.c:2100	build_gas_ignition_vessel_scene
12	launcher/main/apps/sand/suite_sand_scenes.c:1361	mature_tree_replant
12	launcher/main/apps/sand/suite_sand_scenes.c:2830	test_the_plant_pour_scene_keeps_a_loose_heap_in_the_air
12	launcher/main/apps/sand/suite_sand_scenes.c:2890	test_the_settled_plant_heap_is_dry_and_still_full_of_plants
12	launcher/main/apps/sand/suite_sand_seeds.c:1297	test_the_grain_hash_does_not_stripe
12	launcher/main/apps/sand/suite_sand_tone.c:149	test_snow_melts_in_any_liquid
